video_id,title,channel,query_used
_mTJXHaY5kI,GUJRAT TITANS BOWLERS TURNING TEST INTO T20! 😂💣#mohhamadsiraj #gurnurbrar,cricketeditz18,gujarat cricket reaction
0KRwLvvx4YY,Gujarat Titans celebration with trophy after IPL Final win,Vichar On Point,gujarat cricket reaction
-G4PviLAh9I,Shahid afridi crying wonder boy vaibhav Suryavanshi 96 Run vs GUJ | RR vs Gujrat highlight ,Special Hindustan,gujarat cricket reaction
_xbKXmnfLLU,કોહલી ટીખળ કરે છે | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
ST6GPTquKwA,હાર્દિક પંડ્યા vs ગુજરાત ટાઇટન્સ! કેપ્ટનશિપ બની ડીલ તૂટવાનું કારણ,Cricket time24 Gujarati ,gujarati sports news
xrHHYZYSvzg,"&quot;ટાર્ગેટ કરવો હોય તો મને કરો, ખેલાડીઓને નહીં&quot;, DyCM હર્ષભાઈ સંઘવીનો સણસણતો જવાબ",Gujarat First,gujarati sports news
PvRvnR7Cnt4,"હવે ખાતામાં આવશે રાશનના રૂપિયા, પરંતુ 30 દિવસમાં અનાજ નહીં ખરીદો તો શું થશે? BS9 TV NEWS",BS9 TV NEWS,gujarati sports news
E_HSNmGVYhI,આજના તાજા સમાચાર (Daily News)🧑‍🌾 #modi #GujaratiSamachar #india #shortsfeed #short #gujarat #news,ખેડૂત માહિતી ,gujarati sports news
3AESr3FAJjk,"હાઇવે પર અકસ્માત સમયે એમ્બ્યુલન્સ મોડી પડી તો ખેર નહીં, NHAIએ મિનિટ મુજબ દંડ નક્કી કર્યો",BS9 TV NEWS,gujarati sports news
sB6WFomJl1I,MS ધોનીનો એકમાત્ર નિયમ! 😱 અજિંક્ય રહાણેએ કર્યો મોટો ખુલાસો | MS Dhoni,Cricket time24 Gujarati ,gujarati sports news
ukIwhB2Fnoc,ક્રિકેટરે આ ભારતીય કોચ પર લગાવ્યો ગંભીર આરોપ! FIR નોંધાઈ 😱🚨 | Cricket News #india #news #shorts,PS Update News,gujarati sports news
FjhGbQ892DE,તિલક વર્મા WCમાં હોવા જોઈએ&#39; | Sports News Gujarati | Bharat Sports,Bharat Sports Gujarati,gujarati sports news
